genre,k,silhouette,cluster_id,cluster_size,horizon,n_in_horizon,brier_in_horizon,brier_ci_lo,brier_ci_hi
politics,2,0.20513670146465302,0,123,1h,123,0.03767755487804879,0.019600912347560975,0.05949979710365854
politics,2,0.20513670146465302,0,123,12h,123,0.11071629471544715,0.07833938379065042,0.14613946341463416
politics,2,0.20513670146465302,0,123,1d,117,0.10048145940170938,0.0710333517094017,0.13281165176282048
politics,2,0.20513670146465302,1,138,1h,138,0.009728298913043477,0.003617738586956522,0.017384110280797088
politics,2,0.20513670146465302,1,138,12h,137,0.014456989051094889,0.007682806250000001,0.02330546268248174
politics,2,0.20513670146465302,1,138,1d,129,0.03718159302325581,0.020811380232558144,0.056682815552325544
politics,3,0.20853391289710999,0,43,1h,43,0.01745205232558139,0.0015503661337209298,0.03731871613372092
politics,3,0.20853391289710999,0,43,12h,43,0.07290107558139534,0.030831635755813956,0.12185129055232558
politics,3,0.20853391289710999,0,43,1d,43,0.0867088081395349,0.042402350436046524,0.139339707122093
politics,3,0.20853391289710999,1,138,1h,138,0.009728298913043477,0.003617738586956522,0.017384110280797088
politics,3,0.20853391289710999,1,138,12h,137,0.014456989051094889,0.007682806250000001,0.02330546268248174
politics,3,0.20853391289710999,1,138,1d,129,0.03718159302325581,0.020811380232558144,0.056682815552325544
politics,3,0.20853391289710999,2,80,1h,80,0.048548762499999995,0.023045374140624998,0.08021982664062499
politics,3,0.20853391289710999,2,80,12h,80,0.131041975,0.088633011328125,0.17850877750000002
politics,3,0.20853391289710999,2,80,1d,74,0.10848448648648648,0.07019576874999998,0.15062577060810808
politics,4,0.21845722198486328,0,30,1h,30,0.05470235,0.02387262333333334,0.09021493145833331
politics,4,0.21845722198486328,0,30,12h,30,0.1791725,0.1191458775,0.24514327854166668
politics,4,0.21845722198486328,0,30,1d,25,0.14079468,0.08598052550000002,0.19657676899999996
politics,4,0.21845722198486328,1,138,1h,138,0.009728298913043477,0.003617738586956522,0.017384110280797088
politics,4,0.21845722198486328,1,138,12h,137,0.014456989051094889,0.007682806250000001,0.02330546268248174
politics,4,0.21845722198486328,1,138,1d,129,0.03718159302325581,0.020811380232558144,0.056682815552325544
politics,4,0.21845722198486328,2,49,1h,49,0.04577186734693876,0.010590492091836734,0.09415618431122447
politics,4,0.21845722198486328,2,49,12h,49,0.09604544897959184,0.04174374757653061,0.16119033252551024
politics,4,0.21845722198486328,2,49,1d,48,0.08559502083333333,0.039155396093749996,0.1417129813802083
politics,4,0.21845722198486328,3,44,1h,44,0.017055619318181812,0.0014730846590909085,0.03635864019886362
politics,4,0.21845722198486328,3,44,12h,44,0.0803795965909091,0.03737554545454545,0.13135776321022727
politics,4,0.21845722198486328,3,44,1d,44,0.0938159715909091,0.04835522059659093,0.14694085014204541
economics,2,0.3172399699687958,0,170,1h,170,0.22682020588235294,0.2155471176470588,0.23675583518382357
economics,2,0.3172399699687958,0,170,12h,169,0.23479227514792897,0.22434726897189347,0.2444699262204142
economics,2,0.3172399699687958,0,170,1d,57,0.2252339210526316,0.19444588717105263,0.25858874122807024
economics,2,0.3172399699687958,1,330,1h,330,0.2402274045454545,0.23470278248106063,0.2452749408712121
economics,2,0.3172399699687958,1,330,12h,328,0.24137621265243903,0.2361229999809451,0.2458795999618902
economics,2,0.3172399699687958,1,330,1d,49,0.20746354081632654,0.18075530918367347,0.23058704196428573
economics,3,0.34906744956970215,0,269,1h,269,0.24959377323420076,0.24902991171003716,0.2501127323420074
economics,3,0.34906744956970215,0,269,12h,269,0.24962648698884757,0.24913158921933087,0.25010622676579924
economics,3,0.34906744956970215,0,269,1d,32,0.249690625,0.2490671875,0.2503140625
economics,3,0.34906744956970215,1,159,1h,159,0.2410014213836478,0.23364534913522014,0.2469756422955975
economics,3,0.34906744956970215,1,159,12h,158,0.24751876898734176,0.2436634793908228,0.24990807753164554
economics,3,0.34906744956970215,1,159,1d,46,0.25022065217391304,0.24967771739130434,0.2507657608695652
economics,3,0.34906744956970215,2,72,1h,72,0.1718684375,0.14358907690972225,0.19792049470486114
economics,3,0.34906744956970215,2,72,12h,70,0.17991145357142857,0.15096195625000003,0.20858591758928569
economics,3,0.34906744956970215,2,72,1d,28,0.12513560714285715,0.06772245558035714,0.19523969977678574
economics,4,0.39422470331192017,0,68,1h,68,0.1819780992647059,0.15431249439338235,0.20936009365808822
economics,4,0.39422470331192017,0,68,12h,66,0.1908148181818182,0.1620689550189394,0.21885964109848483
